,movie,production_budget,domestic_gross,worldwide_gross,total_gross,profit
3044,Because of Winn-Dixie,15000000,32647042,33508485,66155527,51155527
2922,Becoming Jane,16500000,18663911,39380876,58044787,41544787
1227,Bedazzled,48000000,37879996,90376224,128256220,80256220
555,Bedtime Stories,80000000,110101975,221468935,331570910,251570910
183,Bee Movie,150000000,126631277,287594577,414225854,264225854
2861,Beerfest,17500000,19185184,20159316,39344500,21844500
3006,Beetlejuice,15000000,73839613,73887546,147727159,132727159
4311,Before I Fall,5000000,12241072,18945682,31186754,26186754
2448,Before I Go to Sleep,22000000,3242457,19563579,22806036,806036
4698,Before Midnight,3000000,8110621,23251930,31362551,28362551
4823,Before Sunrise,2500000,5274005,5690220,10964225,8464225
4912,Before Sunset,2000000,5792822,11217346,17010168,15010168
3890,Begin Again,8000000,16170632,68838736,85009368,77009368
4656,Beginners,3200000,5790894,14314407,20105301,16905301
1423,Behind Enemy Lines,40000000,58855732,58855732,117711464,77711464
3272,Being John Malkovich,13000000,22858926,32382381,55241307,42241307
2821,Being Julia,18000000,7739049,14488705,22227754,4227754
4643,Bella,3300000,8093373,12405473,20498846,17198846
4694,Belly,3000000,9639390,9639390,19278780,16278780
3294,Ben is Back,13000000,3703182,9633111,13336293,336293
422,Ben-Hur,95000000,26410477,91669648,118080125,23080125
4569,Ben-Hur: A Tale of the Christ,3900000,9000000,9000000,18000000,14100000
4207,Bend it Like Beckham,5600000,32543449,74566042,107109491,101509491
4682,Beneath the Planet of the Apes,3000000,17489009,17489009,34978018,31978018
5429,Benji,500000,31559560,31559560,63119120,62619120
187,Beowulf,150000000,82280579,195080579,277361158,127361158
4147,Bernie,6000000,9204489,10106975,19311464,13311464
4131,Best in Show,6000000,18621249,20695413,39316662,33316662
5572,Better Luck Tomorrow,250000,3802390,3809226,7611616,7361616
2501,Beverly Hills Chihuahua,20000000,94514402,154218168,248732570,228732570
2992,Beverly Hills Cop,15000000,234760478,316300000,551060478,536060478
2490,Beverly Hills Cop II,20000000,153665036,276665036,430330072,410330072
1145,Beverly Hills Cop III,50000000,42586861,119180938,161767799,111767799
581,Bewitched,80000000,63313159,131159306,194472465,114472465
4015,Beyond the Lights,7000000,14618727,14618727,29237454,22237454
5436,Beyond the Mat,500000,2047570,2047570,4095140,3595140
5226,Beyond the Valley of the Dolls,1000000,9000000,9000000,18000000,17000000
470,Bicentennial Man,90000000,58220776,87420776,145641552,55641552
2974,Bienvenue chez les Ch'tis,16000000,1477650,247474497,248952147,232952147
2766,Big,18000000,114968774,151668774,266637548,248637548
1839,Big Daddy,30000000,163479795,228641283,392121078,362121078
3622,Big Eyes,10000000,14482031,27317872,41799903,31799903
3022,Big Fat Liar,15000000,47811275,52461017,100272292,85272292
716,Big Fish,70000000,66432867,123954323,190387190,120387190
128,Big Hero 6,165000000,222527828,652127828,874655656,709655656
1498,Big Miracle,40000000,20157300,25268680,45425980,5425980
1770,Big Momma's House,33000000,117559438,173559438,291118876,258118876
1414,Big Momma's House 2,40000000,70165972,137047376,207213348,167213348
1800,"Big Mommas: Like Father, Like Son",32000000,37915414,82332450,120247864,88247864
2545,Bill & Ted's Bogus Journey,20000000,37537675,37537675,75075350,55075350
3557,Bill & Ted's Excellent Adventure,10000000,40485039,40485039,80970078,70970078
4281,Billy Elliot,5000000,21995263,109253745,131249008,126249008
5357,Billy Jack,800000,98000000,98000000,196000000,195200000
2785,Birdman or (The Unexpected Virtue of Ignorance),18000000,42340598,103215094,145555692,127555692
