,title,domestic_gross,year
1911,The Intern,75800000,2015
1201,The Internship,44700000,2013
393,The Iron Lady,30000000,2011
1557,The Judge,47100000,2014
2326,The Jungle Book (2016),364000000,2016
14,The Karate Kid,176600000,2010
12,The King's Speech,135500000,2010
2788,The LEGO Batman Movie,175800000,2017
1493,The LEGO Movie,257800000,2014
2824,The LEGO Ninjago Movie,59300000,2017
19,The Last Airbender,131800000,2010
87,The Last Exorcism,41000000,2010
70,The Last Song,63000000,2010
2344,The Legend of Tarzan,126600000,2016
416,The Lincoln Lawyer,58000000,2011
364,The Lion King (in 3D),94200000,2011
1157,The Lone Ranger,89300000,2013
1959,The Longest Ride,37400000,2015
796,The Lucky One,60500000,2012
2374,The Magnificent Seven (2016),93400000,2016
1932,The Man From U.N.C.L.E.,45400000,2015
1881,The Martian,228400000,2015
1500,The Maze Runner,102400000,2014
413,The Mechanic,29100000,2011
3093,The Meg,145400000,2018
1526,The Monuments Men,78000000,2014
1200,The Mortal Instruments: City of Bones,31200000,2013
2846,The Mountain Between Us,30300000,2017
3123,The Mule,103800000,2018
2780,The Mummy (2017),80200000,2017
371,The Muppets,88600000,2011
2423,The Nice Guys,36300000,2016
1971,The Night Before,43000000,2015
3104,The Nun,117500000,2018
1535,The Nut Job,64300000,2014
2844,The Nut Job 2: Nutty by Nature,28400000,2017
3122,The Nutcracker and the Four Realms,54900000,2018
822,The Odd Life of Timothy Green,51900000,2012
42,The Other Guys,119200000,2010
1519,The Other Woman (2014),83900000,2014
1901,The Peanuts Movie,130199999,2015
1965,The Perfect Guy,57000000,2015
785,The Pirates! Band of Misfits,31100000,2012
801,The Possession,49100000,2012
2808,The Post,81900000,2017
3125,The Predator (2018),51000000,2018
1203,The Purge,64500000,2013
1539,The Purge: Anarchy,72000000,2014
2390,The Purge: Election Year,79200000,2016
1884,The Revenant,183600000,2015
400,The Rite,33000000,2011
445,The Roommate,37300000,2011
1946,The Second Best Exotic Marigold Hotel,33100000,2015
2327,The Secret Life of Pets,368400000,2016
1169,The Secret Life of Walter Mitty,58200000,2013
2833,The Shack,57400000,2017
2389,The Shallows,55100000,2016
2805,The Shape of Water,63900000,2017
456,The Sitter,30400000,2011
336,The Smurfs,142600000,2011
1148,The Smurfs 2,71000000,2013
32,The Social Network,97000000,2010
34,The Sorcerer's Apprentice,63200000,2010
1894,The SpongeBob Movie: Sponge Out of Water,163000000,2015
